Application number,Applicant,Year of application,Patent system
US10876142B2,YALE UNIVERSITY,2020,USPTO
US10881631B2,ROTHAMSTED,2021,USPTO
US10881646B2,BIOMED VALLEY DISCOVERIES,2021,USPTO
US10900036B2,HARVARD MEDICAL SCHOOL,2021,USPTO
US10900055B2,CODEXIS INC [US],2021,USPTO
US10900084B2,SYSMEX CORPORATION,2021,USPTO
US10905727B2,PRECIGEN,2021,USPTO
US10907171B2,"NORTH CAROLINA STATE UNIVERSITY; RALEIGH, NC",2021,USPTO
US10913939B2,BAYER,2021,USPTO
US10927375B1,UNIVERSITY OF SOUTH FLORIDA,2021,USPTO
US10947534B2,COLUMBIA UNIVERSITY,2021,USPTO
US10947548B2,BATELLE MEMORIAL INSTITUTE,2021,USPTO
US10947596B2,"DANA-FARBER CANCER INSTITUTE, INC.; BOSTON, MA",2021,USPTO
US10960008B2,"DANA-FARBER CANCER INSTITUTE, INC.; BOSTON, MA",2021,USPTO
US10961296B2,"HOWARD HUGHES MEDICAL INSTITUTE; CHEVY CHASE, MD",2021,USPTO
US10961525B2,UNIVERSITY OF PENNSYLVANIA,2021,USPTO
US10961526B2,RESEARCH INSTITUTE OF INNOVATIVE TECHNOLOGY FOR THE EARTH,2021,USPTO
US10973187B2,GLOBAL CLEAN ENERGY HOLDINGS,2021,USPTO
US10973931B2,AUTONOMOUS UNIVERSITY OF BARCELONA,2021,USPTO
US10975383B2,EVOGENE,2021,USPTO
US10975387B2,BAYER,2021,USPTO
US10975405B2,JIANGNAN UNIVERSITY; WUXI,2021,USPTO
US10975420B2,"CALIFORNIA INSTITUTE OF TECHNOLOGY; PASADENA, CA",2021,USPTO
US10988743B2,RESEARCH INSTITUTE OF INNOVATIVE TECHNOLOGY FOR THE EARTH,2021,USPTO
US10988761B2,GINKGO,2021,USPTO
US11001825B2,JIANGNAN UNIVERSITY; WUXI,2021,USPTO
US11001841B2,HARVARD MEDICAL SCHOOL,2021,USPTO
US11008572B2,SKYHAWK THERAPEUTICS,2021,USPTO
US11013753B2,"CITY OF HOPE; DUARTE, CA",2021,USPTO
US11015211B2,"TENAYA THERAPEUTICS, INC",2021,USPTO
US11020429B2,BRISTOL-MYERS SQUIBB COMPANY,2021,USPTO
US11021689B2,INSERM,2021,USPTO
US11034948B2,CODEXIS INC [US],2021,USPTO
US11034981B2,TEMASEK LIFE SCIENCES LABORATORY LIMITED; SINGAPORE,2021,USPTO
US11035005B2,"VERACYTE, INC",2021,USPTO
US11041005B2,IDIBAPS,2021,USPTO
US11046969B2,EPIPLANTA BIOTECH LTD.; BEIJING,2021,USPTO
US11078247B2,CUREVAC AG,2021,USPTO
US11078497B2,THERAPTEN BIOSCIENCES INC.; KELOWNA,2021,USPTO
US11078542B2,"VERACYTE, INC",2021,USPTO
US11085057B2,UNIVERSITY OF CALIFORNIA,2021,USPTO
US11085060B2,UNIV GEORGIA,2021,USPTO
US11104950B2,UNIVERSITY OF CALIFORNIA,2021,USPTO
US11111535B2,QIAGEN GMBH (DE),2021,USPTO
US11118180B2,"NORTHWESTERN UNIVERSITY; EVANSTON, IL",2021,USPTO
US11124803B2,BAYER,2021,USPTO
US4738921A,ELI LILLY AND COMPANY,1988,USPTO
US4888286A,"CREATIVE BIOMOLECULES, INC.; HOPKINTON, MA",1989,USPTO
US5175147A,TAKEDA CHEMICAL INDUSTRIES LTD,1992,USPTO
US5220013A,THE JOHNSON & JOHNSON,1993,USPTO
US5314872A,TAKEDA CHEMICAL INDUSTRIES LTD,1994,USPTO
US5405942A,NOVARTIS,1995,USPTO
US5464943A,TAKEDA CHEMICAL INDUSTRIES LTD,1995,USPTO
US5468481A,"AMERGEN, INC.; REDWOOD CITY, CA",1995,USPTO
US6331401A,LUNDBECK,2001,USPTO
US6403360A,BRISTOL-MYERS SQUIBB COMPANY,2002,USPTO
US6403785A,OTSUKA PHARMACEUTICAL,2002,USPTO
US6406884A,TAKEDA CHEMICAL INDUSTRIES LTD,2002,USPTO
US6407222A,MERCK,2002,USPTO
US6410323A,IONIS PHARMACEUTICALS,2002,USPTO
US6410715A,MALLINCKRODT,2002,USPTO
US6413719A,UNIVERSITY OF UTAH,2002,USPTO
US6416975A,BIOCENTURY,2002,USPTO
US6423508A,GSK PLC,2002,USPTO
US6423526A,BRISTOL-MYERS SQUIBB COMPANY,2002,USPTO
US6423827A,ROWAN UNIVERSITY,2002,USPTO
US6426072A,GSK PLC,2002,USPTO
US6426193A,"CYTOKINETICS, INC",2002,USPTO
US6429004A,BASF,2002,USPTO
US6432403A,NEW YORK UNIVERSITY,2002,USPTO
US6440663A,LUDWIG INSTITUTE FOR CANCER RESEARCH,2002,USPTO
US6440934A,NOVARTIS,2002,USPTO
US6444425A,GSK PLC,2002,USPTO
US6444642A,"CENES PHARMACEUTICALS, INC.; NORWOOD, MA; GBX;",2002,USPTO
US6444793A,"CURIS, INC.; CAMBRIDGE, MA; US;",2002,USPTO
US6444803A,"EMORY UNIVERSITY; ATLANTA, GA",2002,USPTO
US6447783A,YEDA,2002,USPTO
US6451314A,"ANERGEN, INC.; SEATTLE, WA",2002,USPTO
US6455323A,DAHALER CORPORATION,2002,USPTO
US6464974A,TAKEDA CHEMICAL INDUSTRIES LTD,2002,USPTO
US6465213A,ASTRA AKTIEBOLAG; WOX;,2002,USPTO
US6465618A,ASAHI,2002,USPTO
US6468546A,GSK PLC,2002,USPTO
US6471959A,INCYTE GENOMICS,2002,USPTO
US6471964A,AKZO NOBEL N.V.; ARNHEM; WOX;,2002,USPTO
US6472205A,UNIVERSITY OF CALIFORNIA,2002,USPTO
US6475752A,INCYTE GENOMICS,2002,USPTO
US6475791A,MIT,2002,USPTO
US6475796A,THE JOHNSON & JOHNSON,2002,USPTO
US6476188A,THE ROCKEFELLER UNIVERSITY,2002,USPTO
US6476193A,CELLDEX,2002,USPTO
US6476212A,INCYTE GENOMICS,2002,USPTO
US6478825A,"MEDTRONIC, INC",2002,USPTO
US6479268A,TAKEDA CHEMICAL INDUSTRIES LTD,2002,USPTO
US6479459A,AMGEN,2002,USPTO
US6482408A,GSK PLC,2002,USPTO
US6482608A,THE SALK INSTITUTE FOR BIOLOGICAL STUDIES,2002,USPTO
US6483008A,BAYER,2002,USPTO
US6485919A,MERCK,2002,USPTO
US6486382A,CORTEVA,2002,USPTO
US6489305A,MERCK,2002,USPTO
US6492112A,NOVARTIS,2002,USPTO
US6498243A,SUMITOMO ELECTRIC INDUSTRIES,2002,USPTO
US6500640A,REGENERON PHARMA,2002,USPTO
US6500642A,INCYTE GENOMICS,2002,USPTO
US6500667A,DAHALER CORPORATION,2002,USPTO
US6500938A,INCYTE GENOMICS,2002,USPTO
US6500939A,SAGAMI CHEMICAL RESEARCH CENTER,2002,USPTO
US6500941A,ROCHE DIAGNOSTICS,2002,USPTO
US6503742A,COLD SPRING HARBOR LABORATORY,2003,USPTO
US6503886A,"SELECTIVE GENETICS, INC.; SAN DIEGO, CA",2003,USPTO
US6504010A,GSK PLC,2003,USPTO
US6511811A,UNIVERSITY OF CALIFORNIA,2003,USPTO
US6514719A,AMGEN,2003,USPTO
US6518237A,GSK PLC,2003,USPTO
US6518398A,TAKEDA CHEMICAL INDUSTRIES LTD,2003,USPTO
US6518399A,GSK PLC,2003,USPTO
US6538107A,TAKEDA CHEMICAL INDUSTRIES LTD,2003,USPTO
US6538126A,LUCKY LIMITED; KRX;,2003,USPTO
US6541209A,"ARENA PHARMACEUTICALS, INC.; SAN DIEGO, CA",2003,USPTO
US6545141A,SUMITOMO ELECTRIC INDUSTRIES,2003,USPTO
US6548270A,THE JOHNSON & JOHNSON,2003,USPTO
US6548271A,LEXICON PHARMACEUTICALS,2003,USPTO
US6551821A,COLUMBIA UNIVERSITY,2003,USPTO
US6555339A,"ARENA PHARMACEUTICALS, INC.; SAN DIEGO, CA",2003,USPTO
US6555344A,ASTELLAS PHARMA INC ,2003,USPTO
US6555669A,LEXICON PHARMACEUTICALS,2003,USPTO
US6559176A,PRINCETON UNIVERSITY,2003,USPTO
US6562563A,APPLIED GENETICS LABORATORIES,2003,USPTO
US6562580A,RIGEL PHARMACEUTICALS,2003,USPTO
US6562595A,MCGILL UNIVERSITY,2003,USPTO
US6562947A,OTSUKA PHARMACEUTICAL,2003,USPTO
US6569434A,MERCK,2003,USPTO
US6576237A,HARVARD MEDICAL SCHOOL,2003,USPTO
US6579522A,PRECIGEN,2003,USPTO
US6579708A,GSK PLC,2003,USPTO
US6579715A,LEXICON PHARMACEUTICALS,2003,USPTO
US6582927A,RAPPAPORT FAMILY INSTITUTE FOR RESEARCH IN THE MEDICAL SCIENCES AND AMI ARONHEIM; HAIFA; ILX;,2003,USPTO
US6583275A,THERMO FISHER SCIENTIFIC,2003,USPTO
US6586179A,"ICAGEN, INC",2003,USPTO
US6586252A,KUMHO PETROCHEMICAL,2003,USPTO
US6599879A,GSK PLC,2003,USPTO
US6602501A,ASTELLAS PHARMA INC ,2003,USPTO
US6602693A,"CLEAR SOLUTIONS BIOTECH, INC.; STONY BROOK, NY",2003,USPTO
US6602698A,LEXICON PHARMACEUTICALS,2003,USPTO
US6605441A,GSK PLC,2003,USPTO
US6605443A,LUDWIG INSTITUTE FOR CANCER RESEARCH,2003,USPTO
US6605709A,THERMO FISHER SCIENTIFIC,2003,USPTO
US6607879A,INCYTE GENOMICS,2003,USPTO
US6607895A,LEXICON PHARMACEUTICALS,2003,USPTO
US6610836A,THERMO FISHER SCIENTIFIC,2003,USPTO
US6613740A,RAMOT AT TEL AVIV UNIVERSITY LTD. (IL),2003,USPTO
US6617115A,"CYTOKINETICS, INC",2003,USPTO
US6620615A,CELLDEX,2003,USPTO
US6620923A,OTSUKA PHARMACEUTICAL,2003,USPTO
US6623738A,UNIVERSITY OF CALIFORNIA,2003,USPTO
US6623923A,GSK PLC,2003,USPTO
US6630313A,NATIONAL JEWISH HEALTH,2003,USPTO
US6632627A,TAKEDA CHEMICAL INDUSTRIES LTD,2003,USPTO
US6635450A,FRED HUTCHINSON CANCER RESEARCH CENTER,2003,USPTO
US6635904A,"LUMILEDS LIGHTING U.S., LLC; SAN JOSE, CA",2003,USPTO
US6638504A,NEWTON-EVANS RESEARCH COMPANY,2003,USPTO
US6638736A,MAX PLANCK SOCIETY,2003,USPTO
US6638744A,"HESKA CORPORATION; FORT COLLINS, CO",2003,USPTO
US6639063A,MERCK,2003,USPTO
US6642002A,VANDERBILT UNIVERSITY,2003,USPTO
US6649342A,"EOS BIOTECHNOLOGY, INC.; SOUTH SAN FRANCISCO, CA",2003,USPTO
US6649399A,LEXICON PHARMACEUTICALS,2003,USPTO
US6653086A,"ARENA PHARMACEUTICALS, INC.; SAN DIEGO, CA",2003,USPTO
US6653097A,MERCK,2003,USPTO
US6653445A,GSK PLC,2003,USPTO
US6656732A,IONIS PHARMACEUTICALS,2003,USPTO
US6660483A,"AGY THERAPEUTICS, INC.; SOUTH SAN FRANCISCO, CA",2003,USPTO
US6660499A,REGENERON PHARMA,2003,USPTO
US6664383A,ONO PHARMACEUTICAL CO,2003,USPTO
US6667173A,"THE SCHEPENS EYE RESEARCH INSTITUTE; BOSTON, MA",2003,USPTO
US6670140A,THE PROCTER & GAMBLE,2003,USPTO
US6673600A,SANOFI,2004,USPTO
US6673902A,ST. JUDE CHILDRENS RESEARCH HOSPITAL,2004,USPTO
US6673910A,THERMO FISHER SCIENTIFIC,2004,USPTO
US6677500A,UNIVERSITY OF ILLINOIS,2004,USPTO
US6682905A,NEW YORK UNIVERSITY,2004,USPTO
US6682917A,TAKEDA CHEMICAL INDUSTRIES LTD,2004,USPTO
US6682921A,NEW YORK UNIVERSITY,2004,USPTO
US6686188A,GE HEALTHCARE,2004,USPTO
US6689581A,PFIZER,2004,USPTO
US6689807A,"CARITAS ST. ELIZABETH'S MEDICAL CENTER OF BOSTON, INC.; BOSTON, MA",2004,USPTO
US6689866A,CELLDEX,2004,USPTO
US6692748A,BRISTOL-MYERS SQUIBB COMPANY,2004,USPTO
US6692917A,HOLOGIC INC,2004,USPTO
US6692962A,"UNIVERSITY OF WYOMING; LARAMIE, WY",2004,USPTO
US6693172A,DAHALER CORPORATION,2004,USPTO
US6696273A,SANOFI,2004,USPTO
US6696547A,DKFZ,2004,USPTO
US6703485A,COLUMBIA UNIVERSITY,2004,USPTO
US6703487A,AMGEN,2004,USPTO
US6706869A,PFIZER,2004,USPTO
US6710170A,GSK PLC,2004,USPTO
US6713065A,HARVARD MEDICAL SCHOOL,2004,USPTO
US6713607A,PFIZER,2004,USPTO
US6720139A,"ELITRA PHARMACEUTICALS, INC.; SAN DIEGO, CA",2004,USPTO
US6720154A,THE ROCKEFELLER UNIVERSITY,2004,USPTO
US6720173A,LEXICON PHARMACEUTICALS,2004,USPTO
US6730491A,TAKEDA CHEMICAL INDUSTRIES LTD,2004,USPTO
US6733991A,ASTELLAS PHARMA INC ,2004,USPTO
US6734009A,LEXICON PHARMACEUTICALS,2004,USPTO
US6737244A,RIGEL PHARMACEUTICALS,2004,USPTO
US6737404A,"3-DIMENSIONAL PHARMACEUTICALS, INC.; EXTON, PA",2004,USPTO
US6740737A,TAKEDA CHEMICAL INDUSTRIES LTD,2004,USPTO
US6746861A,LEXICON PHARMACEUTICALS,2004,USPTO
US6747137A,THERMO FISHER SCIENTIFIC,2004,USPTO
US6750012A,CELLDEX,2004,USPTO
US6750042A,UNIV GEORGIA,2004,USPTO
US6750054A,LEXICON PHARMACEUTICALS,2004,USPTO
US6752987A,UNIVERSITY OF CALIFORNIA,2004,USPTO
US6759389A,"GENERVON BIOPHARMACEUTICALS LLC; MONTEBELLO, CA",2004,USPTO
US6767736A,LEXICON PHARMACEUTICALS,2004,USPTO
US6777247A,ACADEMIA SINICA,2004,USPTO
US6777545A,LEXICON PHARMACEUTICALS,2004,USPTO
US6783953A,THE JOHNSON & JOHNSON,2004,USPTO
US6783954A,COMPUGEN LTD. (IL),2004,USPTO
US6783955A,INCYTE GENOMICS,2004,USPTO
US6783961A,MERCK,2004,USPTO
US6783969A,THERMO FISHER SCIENTIFIC,2004,USPTO
US6783970A,TAKARA HOLDINGS,2004,USPTO
US6787345A,TAKEDA CHEMICAL INDUSTRIES LTD,2004,USPTO
US6787640A,GSK PLC,2004,USPTO
US6787644A,AMGEN,2004,USPTO
US6790637A,"CERYLID PTY., LTD.; RICHMOND; AUX;",2004,USPTO
US6790667A,LEXICON PHARMACEUTICALS,2004,USPTO
US6794186A,NOVARTIS,2004,USPTO
US6794491A,TAKEDA CHEMICAL INDUSTRIES LTD,2004,USPTO
US6797695A,KYOTO UNIVERSITY,2004,USPTO
US6806054A,"ARENA PHARMACEUTICALS, INC.; SAN DIEGO, CA",2004,USPTO
US6812339A,THERMO FISHER SCIENTIFIC,2004,USPTO
US6818222A,NOVARTIS,2004,USPTO
US6821745A,BAYER,2004,USPTO
US6821946A,UCL,2004,USPTO
US6822082A,BRISTOL-MYERS SQUIBB COMPANY,2004,USPTO
US6830898A,"OMNIGENE BIOPRODUCTS, INC.; CAMBRIDGE, MA",2004,USPTO
US6833446A,AGRIGENESIS BIOSCIENCES LIMITED AND RUBICON FOREST HOLDINGS LIMITED; AUCKLAND; NZX;,2004,USPTO
US6838259A,TAKEDA CHEMICAL INDUSTRIES LTD,2005,USPTO
US6849441A,TAKARA HOLDINGS,2005,USPTO
US6849443A,LEXICON PHARMACEUTICALS,2005,USPTO
US6852844A,LEXICON PHARMACEUTICALS,2005,USPTO
US6855806A,CELLDEX,2005,USPTO
US6858422A,CODEXIS INC [US],2005,USPTO
US6864224A,BROWN UNIVERSITY (US),2005,USPTO
US6867008A,"NEW ENGLAND MEDICAL CENTER HOSPITALS, INC.; BOSTON, MA",2005,USPTO
US6867013A,AMGEN,2005,USPTO
US6869777A,UNIVERSITY OF MICHIGAN,2005,USPTO
US6875435A,WHITEHEAD INSTITUTE FOR BIOMEDICAL RESEARCH (US),2005,USPTO
US6875570A,CELLDEX,2005,USPTO
US6884770A,"CURIS, INC.; CAMBRIDGE, MA; US;",2005,USPTO
US6887698A,"ACORDA THERAPEUTICS, INC.; ARDSLEY, NY",2005,USPTO
US6887975A,ASTELLAS PHARMA INC ,2005,USPTO
US6890743A,HARVARD MEDICAL SCHOOL,2005,USPTO
US6893858A,BRISTOL-MYERS SQUIBB COMPANY,2005,USPTO
US6897053A,THE ROCKEFELLER UNIVERSITY,2005,USPTO
US6900016A,THERMO FISHER SCIENTIFIC,2005,USPTO
US6900017A,UNIVERSITY OF ILLINOIS,2005,USPTO
US6900288A,MAX PLANCK SOCIETY,2005,USPTO
US6900303A,TAKEDA CHEMICAL INDUSTRIES LTD,2005,USPTO
US6902902A,"ARENA PHARMACEUTICALS, INC.; SAN DIEGO, CA",2005,USPTO
US6911335A,TAKEDA CHEMICAL INDUSTRIES LTD,2005,USPTO
US6916648A,ROCHE DIAGNOSTICS,2005,USPTO
US6919191A,THERMO FISHER SCIENTIFIC,2005,USPTO
US6924354A,GSK PLC,2005,USPTO
US6943238A,AMGEN,2005,USPTO
US6943241A,RESEARCH ASSOCIATION FOR BIOTECHNOLOGY; TOKYO; WOX;,2005,USPTO
US6953680A,STANFORD UNIVERSITY,2005,USPTO
US6962985A,"CEMINES, INC.; GOLDEN, CO",2005,USPTO
US6964849A,CELLDEX,2005,USPTO
US6964868A,THERMO FISHER SCIENTIFIC,2005,USPTO
US6969760A,ST. JUDE CHILDRENS RESEARCH HOSPITAL,2005,USPTO
US6972179A,EXELIXIS,2005,USPTO
US6972187A,TAKEDA CHEMICAL INDUSTRIES LTD,2005,USPTO
US6974667A,ORE HOLDINGS,2005,USPTO
US6974677A,NATIONAL JEWISH HEALTH,2005,USPTO
US6979557A,RESEARCH ASSOCIATION FOR BIOTECHNOLOGY; TOKYO; WOX;,2005,USPTO
US6992170A,CELLDEX,2006,USPTO
US6994991A,"NORTH SHORE - LONG ISLAND JEWISH RESEARCH INSTITUTE; MANHASSET, NY; US;",2006,USPTO
US6994992A,TUFTS COLLEGE,2006,USPTO
US6994995A,LEXICON PHARMACEUTICALS,2006,USPTO
US6995147A,LOMA LINDA UNIVERSITY,2006,USPTO
US7001761A,ASKBIO,2006,USPTO
US7001999A,LUDWIG INSTITUTE FOR CANCER RESEARCH,2006,USPTO
US7005411A,UNIVERSITY OF CALIFORNIA,2006,USPTO
US7015308A,KABUSHIKI KAISHA HAYASHIBARA SEIBUTSU KAGAKU KENKYUJO; OKAYAMA; JP;,2006,USPTO
US7018794A,NOVOZYMES,2006,USPTO
US7033790A,CELLDEX,2006,USPTO
US7041494A,"ICAGEN, INC",2006,USPTO
US7041814A,THERMO FISHER SCIENTIFIC,2006,USPTO
US7045509A,CELLDEX,2006,USPTO
US7049425A,WAKE FOREST UNIVERSITY,2006,USPTO
US7052857A,DSM IP ASSETS,2006,USPTO
US7052888A,TAKEDA CHEMICAL INDUSTRIES LTD,2006,USPTO
US7056703A,BASF,2006,USPTO
US7057017A,TAKEDA CHEMICAL INDUSTRIES LTD,2006,USPTO
US7060791A,"MOCHIDA PHARMACEUTICAL CO., LTD.; TOKYO; JP;",2006,USPTO
US7060794A,"THE METROHEALTH SYSTEM; CLEVELAND, OH; US;",2006,USPTO
US7060800A,MERCK,2006,USPTO
US7063829A,CNRS,2006,USPTO
US7071316A,THE JOHNSON & JOHNSON,2006,USPTO
US7074591A,LEXICON PHARMACEUTICALS,2006,USPTO
US7078203A,THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,2006,USPTO
US7091022A,MERCK,2006,USPTO
US7091033A,"PHASE-1 MOLECULAR TOXICOLOGY, INC.; SANTA FE, NM; US;",2006,USPTO
US7094201A,"MEDTRONIC, INC",2006,USPTO
US7098311A,HARVARD MEDICAL SCHOOL,2006,USPTO
US7098314A,CHINESE ACADEMY OF SCIENCES; HUBEI PROVINCE; CN;,2006,USPTO
US7105290A,THE PROCTER & GAMBLE,2006,USPTO
US7112403A,CNRS,2006,USPTO
US7112717A,BAYER,2006,USPTO
US7115394A,HARVARD MEDICAL SCHOOL,2006,USPTO
US7122360A,UNIVERSITY OF DUNDEE,2006,USPTO
US7122373A,THERMO FISHER SCIENTIFIC,2006,USPTO
US7124068A,MEMORIAL SLOAN-KETTERING CANCER CENTER (US),2006,USPTO
US7125676A,VANDERBILT UNIVERSITY,2006,USPTO
US7125969A,UNIVERSITY OF CALIFORNIA,2006,USPTO
US7132406A,"SOUND PHARMACEUTICALS INCORPORATED; SEATTLE, WA; US;",2006,USPTO
US7138492A,"CURIS, INC.; CAMBRIDGE, MA; US;",2006,USPTO
US7141388A,"ARCHER-DANIELS-MIDLAND COMPANY; DECATUR, IL; US;",2006,USPTO
US7141391A,LIGAND PHARMACEUTICALS,2006,USPTO
US7157250A,AJINOMOTO,2007,USPTO
US7157439A,UNIVERSITY OF CALIFORNIA,2007,USPTO
US7162371A,UNIV GEORGIA,2007,USPTO
US7167802A,"WYETH; MADISON, NJ; US;",2007,USPTO
US7169580A,ROCHE DIAGNOSTICS,2007,USPTO
US7169751A,BAYER,2007,USPTO
US7175658A,MULTI-GENE VASCULAR SYSTEMS LTD.; HAIFA; IL;,2007,USPTO
US7179890A,THE JOHNSON & JOHNSON,2007,USPTO
US7183075A,VANDERBILT UNIVERSITY,2007,USPTO
US7186407A,NOVARTIS,2007,USPTO
US7186539A,DAHALER CORPORATION,2007,USPTO
US7189546A,ONO PHARMACEUTICAL CO,2007,USPTO
US7189551A,"BIOPTIK TECHNOLOGY, INC.; TAIPEI; TW;",2007,USPTO
US7193069A,RESEARCH ASSOCIATION FOR BIOTECHNOLOGY; TOKYO; JP;,2007,USPTO
US7198930A,TAKEDA CHEMICAL INDUSTRIES LTD,2007,USPTO
US7205110A,BRISTOL-MYERS SQUIBB COMPANY,2007,USPTO
US7205135A,BAYER,2007,USPTO
US7208282A,MERCK,2007,USPTO
US7208581A,SANFORD BURHAM PREBYS,2007,USPTO
US7211418A,DSM IP ASSETS BV,2007,USPTO
US7223406A,UNIVERSITY OF CALIFORNIA,2007,USPTO
US7223557A,BRISTOL-MYERS SQUIBB COMPANY,2007,USPTO
US7226748A,"AURELIUM BIOPHARMA, INC.; MONTREAL, QUEBEC; CA;",2007,USPTO
US7226755A,THE PROCTER & GAMBLE,2007,USPTO
US7227006A,SANOFI,2007,USPTO
US7229755A,DANA FARBER CANCER INSTITUTE,2007,USPTO
US7229774A,UNIVERSITY OF MICHIGAN,2007,USPTO
US7235236A,UNIVERSITY OF CALIFORNIA,2007,USPTO
US7235363A,PFIZER,2007,USPTO
US7238213A,"BECTON, DICKINSON AND COMPANY",2007,USPTO
US7244877A,BAYER,2007,USPTO
US7256010A,TAKEDA CHEMICAL INDUSTRIES LTD,2007,USPTO
US7258860A,GSK PLC,2007,USPTO
US7258988A,TAKEDA CHEMICAL INDUSTRIES LTD,2007,USPTO
US7259015A,OXFORD BIOMEDICA,2007,USPTO
US7262062A,KEIO UNIVERSITY,2007,USPTO
US7262280A,TAKEDA CHEMICAL INDUSTRIES LTD,2007,USPTO
US7264926A,TAKEDA CHEMICAL INDUSTRIES LTD,2007,USPTO
US7264946A,"OCUGEN, INC",2007,USPTO
US7273616A,COLUMBIA UNIVERSITY,2007,USPTO
US7279284A,ROCHE DIAGNOSTICS,2007,USPTO
US7279314A,MARINE BIOTECHNOLOGY INST,2007,USPTO
US7282357A,BASF,2007,USPTO
US7288385A,THE SALK INSTITUTE FOR BIOLOGICAL STUDIES,2007,USPTO
US7288406A,"OCUGEN, INC",2007,USPTO
US7291767A,DOW,2007,USPTO
US7294459A,HARVARD MEDICAL SCHOOL,2007,USPTO
US7294475A,TAKEDA CHEMICAL INDUSTRIES LTD,2007,USPTO
US7297523A,"XENON PHARMACEUTICALS INC.; VANCOUVER, BRITISH COLOMBIA; CA;",2007,USPTO
US7301016A,TAKEDA CHEMICAL INDUSTRIES LTD,2007,USPTO
US7303892A,TAKEDA CHEMICAL INDUSTRIES LTD,2007,USPTO
US7306923A,GALAPAGOS,2007,USPTO
US7309594A,TAKEDA CHEMICAL INDUSTRIES LTD,2007,USPTO
US7309604A,"LICENTIA, LTD. AND LUDWIG INSTITUTE FOR CANCER RESEARCH; HELSINKI; FI;",2007,USPTO
US7309772A,"ICAGEN, INC",2007,USPTO
US7309815A,CORTEVA,2007,USPTO
US7314713A,MYRIAD GENETICS,2008,USPTO
US7319011A,DUKE UNIVERSITY,2008,USPTO
US7319142A,BAYER,2008,USPTO
US7326417A,BOEHRIGER INGELHEIM,2008,USPTO
US7326537A,GSK PLC,2008,USPTO
US7326552A,TAKEDA CHEMICAL INDUSTRIES LTD,2008,USPTO
US7326771A,"MONTEREY BAY AQUARIUM RESEARCH INSTITUTE; MOSS LANDING, CA; US;",2008,USPTO
US7329511A,UNIVERSITY OF CALIFORNIA,2008,USPTO
US7332568A,BRISTOL-MYERS SQUIBB COMPANY,2008,USPTO
US7332575A,JOHNS HOPKINS UNIVERSITY,2008,USPTO
US7335469A,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2008,USPTO
US7341832A,STANFORD UNIVERSITY,2008,USPTO
US7341850A,"WYETH; MADISON, NJ; US;",2008,USPTO
US7341995A,MERCK,2008,USPTO
US7342102A,ROCHE DIAGNOSTICS,2008,USPTO
US7351566A,TAKEDA CHEMICAL INDUSTRIES LTD,2008,USPTO
US7354709A,NATIONAL TAIWAN UNIVERSITY,2008,USPTO
US7354745A,UNIVERSITY OF WISCONSIN-MADISON,2008,USPTO
US7358042A,"AURELIUM BIOPHARMA, INC.; MONTREAL, QUEBEC; CA;",2008,USPTO
US7358057A,ROCHE DIAGNOSTICS,2008,USPTO
US7361478A,ABBVIE INC,2008,USPTO
US7364864A,OXFORD UNIVERSITY,2008,USPTO
US7364887A,SANOFI,2008,USPTO
US7365185A,BAYER,2008,USPTO
US7368248A,CENIX BIOSCIENCE GMBH; DRESDEN; DE;,2008,USPTO
US7368531A,GSK PLC,2008,USPTO
US7371723A,UNIVERSITY OF FLORIDA RESEARCH FOUNDATION INC. (US),2008,USPTO
US7371850A,MYRIAD GENETICS,2008,USPTO
US7374760A,THE UNIVERSITY OF CHICAGO,2008,USPTO
US7374913A,EIKEN KAGAKU KABUSHIKI KAISHA; TOKYO; JP;,2008,USPTO
US7381541A,BASF,2008,USPTO
US7381549A,BASF,2008,USPTO
US7384739A,TOYOBO CO LTD,2008,USPTO
US7384775A,"WYETH; MADISON, NJ; US;",2008,USPTO
US7390645A,RICE UNIVERSITY,2008,USPTO
US7393663A,SERONO GENETICS INSTITUTE S.A.; EVRY; FR;,2008,USPTO
US7393666A,"BURNHAM INSTITUTE FOR MEDICAL RESEARCH; LA JOLLA, CA; US;",2008,USPTO
US7405050A,PRINCETON UNIVERSITY,2008,USPTO
US7407784A,MAX PLANCK SOCIETY,2008,USPTO
US7408028A,SINAPORE GENERAL HOSPITAL PTE LTD.; SINGAPORE; SG;,2008,USPTO
US7408052A,BAYER,2008,USPTO
US7411052A,THERMO FISHER SCIENTIFIC,2008,USPTO
US7411055A,AMGEN,2008,USPTO
US7414019A,AUCKLAND UNISERVICES LIMITED; AUCKLAND; NZ;,2008,USPTO
US7414119A,BASF,2008,USPTO
US7415358A,OCIMUM BIOSOLUTIONS,2008,USPTO
US7416849A,THERMO FISHER SCIENTIFIC,2008,USPTO
US7416851A,INSTITUT PASTEUR,2008,USPTO
US7419779A,RIGEL PHARMACEUTICALS,2008,USPTO
US7420044A,"ABT HOLDING COMPANY; CLEVELAND, OH; US;",2008,USPTO
US7422747A,LOMA LINDA UNIVERSITY,2008,USPTO
US7422849A,LUDWIG INSTITUTE FOR CANCER RESEARCH,2008,USPTO
US7422888A,TAKARA HOLDINGS,2008,USPTO
US7424370A,CSIR,2008,USPTO
